id,item,geo,inception,country,countryLabel,long,lat
89,http://www.wikidata.org/entity/Q5195610,Point(24.940641 44.960169),2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q218,,24.940641,44.960169
90,http://www.wikidata.org/entity/Q4295536,Point(49.2274 55.7915),2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,,49.2274,55.7915
91,http://www.wikidata.org/entity/Q3229439,Point(16.4508 46.559528),2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q215,,16.4508,46.559528
92,http://www.wikidata.org/entity/Q3435821,Point(14.655833333 63.194722222),2007-07-13T00:00:00Z,http://www.wikidata.org/entity/Q34,,14.655833333,63.194722222
93,http://www.wikidata.org/entity/Q1064949,Point(106.502109 29.528723),2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q148,,106.502109,29.528723
94,http://www.wikidata.org/entity/Q3277702,Point(110.360186111 1.588544444),1997-06-17T00:00:00Z,http://www.wikidata.org/entity/Q833,,110.360186111,1.588544444
95,http://www.wikidata.org/entity/Q2333630,Point(151.068056 -33.855),1998-01-01T00:00:00Z,http://www.wikidata.org/entity/Q408,,151.068056,-33.855
96,http://www.wikidata.org/entity/Q2035401,Point(115.851944444 -31.948333333),2012-01-01T00:00:00Z,http://www.wikidata.org/entity/Q408,,115.851944444,-31.948333333
97,http://www.wikidata.org/entity/Q2093647,Point(-73.5525 45.563055555),2007-04-18T00:00:00Z,http://www.wikidata.org/entity/Q16,,-73.5525,45.563055555
98,http://www.wikidata.org/entity/Q2459367,Point(-6.37374 53.2835),2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q27,,-6.37374,53.2835
99,http://www.wikidata.org/entity/Q1149601,Point(39.956111 43.402267),2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,,39.956111,43.402267
100,http://www.wikidata.org/entity/Q1058494,Point(-8.642777777 41.162222222),2003-12-30T00:00:00Z,http://www.wikidata.org/entity/Q45,,-8.642777777,41.162222222
101,http://www.wikidata.org/entity/Q1851216,Point(151.061944 -33.844444),1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q408,,151.061944,-33.844444
102,http://www.wikidata.org/entity/Q1058864,Point(-95.410833333 29.684722222),2002-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-95.410833333,29.684722222
103,http://www.wikidata.org/entity/Q1421187,Point(16.31523333 56.69070278),2011-04-11T00:00:00Z,http://www.wikidata.org/entity/Q34,,16.31523333,56.69070278
104,http://www.wikidata.org/entity/Q1583034,Point(14.776388888 56.879722222),2012-09-01T00:00:00Z,http://www.wikidata.org/entity/Q34,,14.776388888,56.879722222
105,http://www.wikidata.org/entity/Q2860806,Point(2.229554 48.89565),2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q142,,2.229554,48.89565
106,http://www.wikidata.org/entity/Q2063232,Point(110.418 -7.75051),2007-01-01T00:00:00Z,http://www.wikidata.org/entity/Q252,,110.418,-7.75051
107,http://www.wikidata.org/entity/Q2056065,Point(55.463055555 24.989444444),2008-01-01T00:00:00Z,http://www.wikidata.org/entity/Q878,,55.463055555,24.989444444
108,http://www.wikidata.org/entity/Q1514798,Point(-111.893 40.5829),2005-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30,,-111.893,40.5829
109,http://www.wikidata.org/entity/Q3271598,Point(104.307826 30.615778),2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q148,,104.307826,30.615778
